recording,event_or_utterance_id,expected_text,candidate,mode,legacy_outcome,candidate_outcome,delta_class,latency_delta_ms,notes
1786194763609,1786194763609_cmd_029,назад,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,raw_mix123,production_like,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_029,назад,webrtc_moderate,production_like,true,true,slower_stable_partial,140.00000000000057,
1786194763609,1786194763609_cmd_030,назад,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_030,назад,hpf80_mix123,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_030,назад,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_030,назад,raw_ch3,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_030,назад,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_030,назад,raw_mix123,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_030,назад,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_030,назад,webrtc_moderate,production_like,true,true,unchanged,19.99999999999602,
1786194763609,1786194763609_cmd_031,назад,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_031,назад,hpf80_mix123,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_031,назад,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_031,назад,raw_ch3,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_031,назад,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_031,назад,raw_mix123,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_031,назад,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_031,назад,webrtc_moderate,production_like,true,true,unchanged,,
1786194763609,1786194763609_cmd_032,доступность,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_032,доступность,hpf80_mix123,production_like,true,true,slower_stable_partial,200.00000000000284,
1786194763609,1786194763609_cmd_032,доступность,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_032,доступность,raw_ch3,production_like,true,true,slower_stable_partial,200.00000000000284,
1786194763609,1786194763609_cmd_032,доступность,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_032,доступность,raw_mix123,production_like,true,true,slower_stable_partial,200.00000000000284,
1786194763609,1786194763609_cmd_032,доступность,webrtc_moderate,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_032,доступность,webrtc_moderate,production_like,true,true,unchanged,19.99999999999602,
1786194763609,1786194763609_cmd_033,список,hpf80_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_033,список,hpf80_mix123,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_033,список,raw_ch3,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_033,список,raw_ch3,production_like,true,true,unchanged,-39.99999999999204,
1786194763609,1786194763609_cmd_033,список,raw_mix123,clean_continuous,true,true,unchanged,0.0,
1786194763609,1786194763609_cmd_033,список,raw_mix123,production_like,true,true,unchanged,-39.99999999999204,
